idPessoaQueSegue,idPessoaQueESeguida,grauAmizade,dataInicioQueSegue,dataFimQueSegue
46,20,1,2010-12-21,2030-09-24
40,97,1,2011-12-09,2027-06-12
53,130,1,2013-04-01,2029-10-27
130,1,2,2014-09-18,2030-06-16
25,61,0,2014-11-19,2026-12-31
5,34,0,2013-08-09,2028-01-16
15,33,0,2011-07-15,2027-01-08
101,119,2,2011-02-27,2028-06-30
4,119,2,2013-09-20,2029-09-05
15,68,2,2011-03-29,2029-10-17
131,10,2,2012-04-02,2027-10-15
39,1,0,2011-10-05,2026-12-13
110,130,1,2014-09-06,2030-04-01
50,87,1,2011-09-22,2028-11-14
4,85,1,2012-05-28,2029-03-12
130,112,2,2011-06-17,2027-12-11
28,144,1,2012-12-16,2029-09-26
61,110,0,2012-04-10,2027-06-01
132,18,0,2012-03-01,2029-09-25
126,54,2,2014-07-20,2027-10-06
86,140,0,2013-11-05,2030-11-10
133,140,1,2012-12-06,2030-09-29
149,51,2,2014-01-09,2028-04-07
98,108,0,2013-06-15,2030-03-26
28,103,1,2011-06-15,2028-12-25
21,63,0,2012-12-22,2026-12-02
133,87,1,2014-08-17,2029-04-01
37,80,2,2012-11-22,2027-03-10
120,132,0,2012-09-17,2030-10-13
141,112,1,2014-10-27,2030-05-13
42,99,0,2013-12-28,2029-09-24
94,103,0,2012-07-23,2028-02-05
50,18,0,2011-03-14,2028-06-30
21,103,1,2013-10-19,2027-12-02
42,16,0,2013-09-17,2028-08-14
83,77,2,2014-02-10,2029-05-20
149,67,2,2011-04-13,2028-09-25
138,122,1,2012-05-15,2027-07-20
74,98,1,2012-06-17,2028-12-14
111,85,2,2013-08-09,2030-02-04
142,42,2,2012-11-12,2027-03-12
88,108,1,2012-03-28,2029-07-18
99,130,0,2011-09-04,2030-01-28
50,63,0,2012-12-03,2029-04-21
27,63,1,2011-04-03,2028-10-30
147,56,2,2012-12-15,2029-01-31
23,71,1,2014-10-21,2029-05-08
117,65,2,2012-01-09,2028-03-19
28,52,1,2012-12-31,2027-12-27
146,79,0,2013-11-05,2030-04-05
70,113,1,2011-09-20,2028-12-22
129,88,0,2014-02-01,2030-09-21
145,23,0,2012-05-09,2030-05-20
146,119,0,2014-03-09,2027-03-30
38,82,1,2013-09-09,2030-07-27
100,47,1,2013-12-30,2027-01-24
134,79,0,2014-09-17,2028-05-03
93,19,1,2011-04-28,2028-11-29
142,137,2,2013-01-22,2030-07-12
89,114,2,2013-02-21,2027-07-10
96,70,2,2011-10-27,2028-08-14
31,5,1,2013-10-26,2029-05-11
150,71,2,2014-05-23,2028-01-18
4,148,0,2012-04-08,2029-11-21
96,34,2,2013-07-02,2030-10-01
49,2,1,2011-06-19,2026-12-20
48,25,1,2014-04-18,2027-09-22
110,27,0,2014-10-31,2028-12-22
97,9,1,2014-01-11,2029-01-12
129,13,2,2011-04-15,2027-09-25
18,110,0,2013-09-13,2027-02-19
25,40,1,2011-01-18,2029-09-27
45,111,1,2013-11-15,2030-09-17
59,143,0,2011-05-21,2028-04-22
107,129,0,2011-10-08,2030-08-23
56,16,2,2012-11-24,2027-12-26
52,89,1,2013-01-29,2030-05-28
68,102,1,2013-08-01,2030-07-04
13,58,1,2011-09-04,2030-02-22
3,37,0,2012-04-10,2029-11-24
10,68,0,2012-03-10,2029-08-05
150,55,1,2012-07-15,2027-10-05
69,9,1,2011-09-03,2029-11-28
50,118,1,2013-11-27,2027-05-07
114,97,0,2012-05-11,2027-02-16
83,66,2,2011-08-21,2030-11-09
84,135,0,2011-06-27,2029-05-01
135,4,0,2012-02-01,2027-11-15
5,45,0,2014-03-04,2029-02-18
50,21,2,2013-04-25,2029-06-29
100,1,0,2010-12-29,2029-05-05
3,71,2,2013-06-09,2027-09-07
18,133,2,2012-12-15,2028-12-12
3,99,0,2013-07-22,2029-09-05
97,6,1,2014-02-27,2028-07-02
95,43,1,2012-03-15,2030-04-12
81,116,1,2013-06-04,2028-04-04
142,93,1,2013-01-31,2029-06-08
39,67,2,2012-02-25,2029-10-03
112,138,1,2013-09-13,2030-10-06
103,116,2,2013-09-25,2028-01-02
88,23,0,2014-04-17,2028-05-18
147,81,2,2012-02-14,2028-07-31
88,97,0,2013-04-07,2029-08-13
11,65,0,2011-05-12,2030-03-08
125,118,2,2011-03-15,2030-07-06
118,131,0,2013-12-12,2027-10-24
6,150,1,2011-07-03,2028-04-05
136,50,2,2012-11-27,2028-04-27
80,49,0,2012-11-27,2030-09-01
110,44,0,2014-04-14,2028-06-24
135,8,2,2013-03-02,2027-06-27
74,10,0,2013-06-21,2029-12-13
144,12,1,2013-10-09,2029-06-22
65,9,2,2013-05-28,2030-06-04
104,117,1,2012-07-26,2030-04-20
1,70,2,2011-08-15,2030-03-26
25,115,0,2013-10-26,2029-05-31
35,94,0,2012-04-09,2027-03-13
61,149,1,2011-02-17,2028-09-16
68,39,0,2012-05-08,2030-05-07
41,48,2,2011-05-27,2027-07-09
94,90,1,2013-06-05,2029-09-16
16,138,1,2013-02-21,2027-10-29
39,68,2,2011-01-14,2030-03-24
137,64,1,2010-12-23,2030-07-25
25,97,2,2014-03-18,2030-10-06
110,83,1,2014-09-20,2028-11-23
34,101,0,2011-03-15,2029-11-07
142,100,0,2011-10-08,2027-12-27
115,145,1,2011-05-19,2028-06-12
18,36,2,2013-05-14,2029-01-30
132,120,2,2012-08-14,2028-08-20
99,57,1,2012-11-13,2027-01-21
86,18,0,2011-01-26,2027-05-03
67,74,2,2013-05-15,2029-05-03
28,98,0,2013-11-13,2028-12-02
75,118,0,2012-03-26,2029-05-14
62,101,0,2014-03-21,2030-06-19
2,106,0,2014-01-30,2029-03-24
79,35,0,2012-04-27,2027-01-06
130,139,1,2014-08-31,2029-11-29
123,138,2,2012-07-15,2027-07-22
56,4,0,2011-01-12,2028-08-17
119,29,2,2011-04-22,2029-04-30
47,42,0,2013-05-27,2030-11-15
103,36,0,2011-06-20,2030-06-20
39,114,2,2011-01-08,2030-08-07
40,55,2,2014-05-03,2030-03-17
54,12,2,2013-10-24,2028-09-09
86,66,2,2013-11-06,2027-10-07
122,5,2,2013-11-14,2029-07-29
113,44,1,2011-08-10,2030-10-06
19,129,2,2013-05-11,2028-09-29
94,9,1,2012-05-08,2028-01-29
1,59,0,2013-05-29,2027-12-02
96,89,2,2013-10-01,2030-08-28
111,47,2,2014-10-22,2029-11-29
50,65,1,2011-05-25,2030-11-01
102,109,0,2012-01-29,2030-07-10
146,139,2,2014-11-04,2029-02-14
29,63,2,2012-06-18,2028-10-21
117,6,2,2011-05-12,2027-04-19
17,50,2,2011-03-23,2029-06-05
104,144,1,2011-06-14,2027-03-08
112,54,2,2013-02-16,2027-10-15
120,21,2,2012-01-11,2028-11-08
129,47,2,2013-09-07,2030-01-14
33,51,0,2012-08-16,2030-03-03
102,22,1,2012-05-25,2027-06-09
12,21,1,2012-09-11,2030-09-27
110,96,1,2011-11-30,2029-10-30
12,16,2,2012-10-06,2027-10-11
32,16,0,2011-04-02,2030-09-28
89,47,2,2014-10-31,2029-11-11
24,25,1,2012-05-14,2029-01-01
21,80,0,2013-09-20,2028-07-02
72,111,1,2014-05-16,2029-04-03
78,53,2,2010-12-08,2030-07-25
6,120,1,2011-05-24,2030-10-02
22,143,0,2013-04-14,2028-06-21
146,115,2,2011-07-31,2028-11-02
69,105,2,2012-05-13,2029-12-02
8,77,1,2011-10-05,2028-01-21
105,140,2,2014-07-11,2028-10-12
17,60,2,2011-04-26,2029-09-11
34,102,2,2014-07-28,2029-04-24
126,9,0,2012-02-26,2028-06-20
15,29,0,2011-10-01,2028-04-21
16,99,2,2014-10-18,2027-09-20
48,26,0,2011-09-01,2030-06-11
27,110,1,2011-03-25,2028-02-09
22,141,1,2013-08-28,2029-03-29
50,2,1,2012-10-05,2026-11-30
120,33,0,2014-03-31,2030-07-09
116,41,1,2013-09-08,2027-01-03
74,20,1,2014-03-30,2029-04-22
78,83,1,2011-09-23,2029-02-22
18,82,0,2012-09-13,2029-08-24
62,18,2,2011-11-06,2030-07-21
137,69,2,2014-03-05,2028-06-15
148,110,0,2014-10-22,2030-10-15
88,39,1,2011-02-11,2028-02-04
91,123,1,2012-05-08,2028-05-18
130,55,2,2013-10-13,2028-05-28
36,51,0,2012-09-04,2028-05-10
119,109,0,2012-04-22,2029-12-22
77,120,2,2012-03-06,2028-01-08
117,131,1,2011-10-01,2030-10-07
14,58,0,2012-08-30,2030-06-07
24,98,2,2011-06-19,2029-03-01
18,125,0,2011-03-11,2027-09-12
135,5,0,2012-02-12,2027-02-20
115,135,2,2012-08-18,2027-10-31
46,80,1,2011-10-29,2027-06-09
66,132,1,2013-04-26,2029-05-11
37,143,1,2013-08-19,2030-05-21
106,57,2,2013-09-24,2026-11-28
145,114,2,2014-05-02,2030-10-30
44,49,2,2011-02-20,2028-03-08
63,93,0,2013-01-23,2030-09-08
32,109,2,2012-11-26,2029-12-11
41,90,1,2014-07-09,2028-02-26
17,94,2,2013-06-13,2027-09-17
30,67,1,2011-09-03,2029-11-17
22,101,0,2013-04-11,2029-04-18
104,132,0,2014-06-14,2026-11-26
124,52,1,2011-11-29,2029-04-21
123,136,1,2011-11-27,2030-06-23
128,135,1,2012-05-02,2028-03-03
70,84,2,2013-05-13,2030-06-15
22,30,1,2013-08-04,2027-07-06
45,83,1,2014-04-01,2029-08-04
86,28,0,2014-03-25,2028-02-25
32,19,1,2014-03-26,2027-05-03
120,73,1,2013-11-04,2027-09-09
13,68,0,2013-02-02,2028-02-23
87,127,2,2011-10-18,2030-02-20
81,36,2,2011-05-18,2027-07-29
91,145,2,2012-08-09,2030-05-13
77,49,2,2013-07-25,2027-08-23
134,137,0,2014-06-23,2027-11-16
138,80,2,2012-11-28,2030-01-16
54,44,0,2011-12-25,2026-12-12
20,43,2,2011-09-27,2030-05-26
34,129,1,2012-11-05,2028-07-06
18,17,0,2013-10-13,2029-04-09
73,74,2,2011-01-13,2027-01-11
52,29,2,2012-08-24,2029-01-24
111,52,1,2011-01-09,2028-06-25
133,4,0,2012-04-21,2027-02-25
71,134,2,2013-11-25,2027-11-22
20,134,0,2012-05-04,2027-10-24
19,5,0,2014-04-01,2029-01-11
31,149,1,2012-11-10,2027-06-03
18,9,0,2013-05-21,2028-02-07
62,99,1,2012-05-23,2027-07-10
86,135,1,2011-07-17,2029-01-09
18,58,0,2012-07-02,2029-08-14
68,54,0,2014-09-13,2027-09-24
107,123,0,2011-02-03,2028-03-19
29,136,0,2010-12-12,2030-10-30
136,132,0,2014-10-10,2030-10-01
138,14,0,2014-06-23,2027-06-27
19,92,1,2013-07-23,2030-11-12
54,114,1,2012-02-15,2028-08-13
115,118,0,2011-06-08,2028-02-12
67,86,1,2013-03-05,2028-06-14
49,60,2,2014-02-14,2030-05-06
119,17,1,2012-07-03,2028-09-30
128,7,1,2012-12-31,2029-11-17
111,87,0,2012-12-28,2029-10-22
87,59,0,2013-11-27,2029-01-09
16,96,0,2012-12-01,2030-07-18
108,22,1,2011-04-08,2029-08-18
118,62,1,2012-05-18,2027-11-18
140,149,1,2012-12-15,2029-01-01
39,73,0,2011-11-08,2030-03-31
63,64,1,2012-12-02,2030-01-17
74,128,1,2011-03-30,2027-10-15
61,80,1,2014-07-01,2029-02-25
134,117,0,2010-12-21,2028-04-06
139,43,1,2013-06-29,2028-01-20
21,140,1,2014-11-09,2028-09-16
104,127,1,2012-04-07,2030-08-18
57,20,2,2013-02-28,2029-08-02
16,141,2,2012-10-02,2027-10-10
84,105,1,2011-11-30,2029-09-26
108,5,1,2012-08-22,2027-06-19
11,137,2,2014-03-02,2027-06-08
61,64,2,2011-04-19,2027-10-06
3,7,2,2010-11-29,2029-07-08
21,126,0,2012-03-06,2027-03-07
26,75,0,2013-10-06,2029-10-27
127,85,1,2011-11-20,2027-04-14
99,62,2,2013-12-10,2028-08-23
46,57,0,2011-10-01,2028-05-28
19,86,0,2011-11-13,2030-06-19
17,32,2,2011-04-10,2030-03-29
107,109,1,2013-06-17,2029-08-03
114,41,2,2013-09-12,2027-06-05
136,139,2,2011-09-20,2030-08-12
110,97,1,2014-09-07,2028-12-09
5,77,2,2011-10-05,2027-01-05
35,140,0,2012-08-22,2029-02-02
29,19,0,2011-02-14,2029-05-15
50,133,0,2012-07-16,2029-01-18
46,142,1,2012-12-27,2029-10-30
29,131,2,2014-04-20,2027-03-18
48,31,2,2013-02-21,2028-10-04
66,121,0,2011-12-21,2029-04-27
42,73,2,2012-01-19,2029-06-01
117,135,2,2014-09-19,2030-09-13
67,18,2,2011-01-12,2028-10-09
114,75,1,2013-01-22,2030-10-26
37,121,0,2014-11-15,2026-12-31
126,7,1,2011-05-09,2027-11-13
100,92,1,2011-08-19,2028-01-24
96,103,1,2013-01-10,2030-04-12
104,34,1,2014-11-06,2029-10-15
37,94,2,2013-09-23,2028-05-21
49,9,0,2012-02-27,2030-06-10
75,76,0,2011-05-28,2027-01-06
35,98,0,2012-06-28,2028-08-09
110,24,2,2011-08-16,2030-04-02
123,128,2,2013-10-13,2027-09-01
103,29,2,2011-01-07,2029-06-12
142,37,1,2011-07-21,2029-05-11
46,14,1,2011-06-23,2027-09-20
5,136,1,2014-02-26,2029-06-29
41,23,2,2011-05-08,2027-11-28
86,80,0,2012-12-13,2029-09-11
68,44,2,2011-09-29,2027-02-08
106,96,1,2011-05-01,2027-09-15
84,111,2,2013-03-02,2027-04-22
35,138,1,2011-06-30,2029-10-18
98,90,2,2014-03-08,2027-12-23
103,67,1,2014-07-09,2029-08-03
39,117,1,2012-08-24,2030-07-12
85,128,2,2011-12-07,2027-07-07
111,19,2,2012-12-10,2028-08-01
101,97,2,2014-09-11,2028-07-21
10,17,2,2011-11-18,2030-07-01
107,52,1,2012-08-05,2029-03-23
112,38,1,2012-04-17,2029-02-06
128,85,0,2012-05-06,2028-10-26
76,84,2,2011-05-03,2030-09-16
131,18,0,2011-01-16,2029-06-01
109,130,2,2013-06-10,2030-07-08
77,28,0,2012-01-04,2027-02-01
21,135,2,2013-02-21,2028-08-09
30,96,1,2013-07-21,2027-04-03
78,86,2,2011-07-23,2028-01-11
73,150,2,2013-06-05,2028-03-09
71,118,1,2014-07-30,2029-10-07
76,49,2,2011-06-23,2030-10-18
107,65,1,2014-11-08,2030-10-17
110,51,1,2014-01-29,2030-06-06
30,68,1,2011-08-24,2029-04-24
45,72,0,2013-01-22,2029-11-26
11,76,0,2014-07-23,2028-03-24
56,73,1,2014-11-15,2029-12-21
130,59,1,2013-07-21,2028-10-01
56,141,0,2011-10-09,2027-12-15
23,88,0,2013-09-24,2030-05-10
73,36,1,2012-08-31,2030-02-12
14,74,0,2012-06-04,2028-08-28
22,38,1,2012-04-17,2030-07-17
127,149,1,2013-08-15,2028-08-15
8,85,0,2011-03-13,2028-11-25
99,25,2,2011-12-14,2027-07-06
65,8,1,2011-11-18,2027-02-10
114,122,1,2014-05-16,2027-10-03
120,134,0,2013-04-05,2027-05-07
91,6,2,2011-10-05,2029-02-16
19,142,0,2013-05-07,2028-09-13
21,146,0,2010-12-07,2028-12-02
3,33,1,2011-05-11,2030-03-19
28,114,1,2014-01-08,2027-07-22
25,11,1,2014-05-13,2030-10-26
56,50,1,2014-02-17,2027-10-08
61,2,1,2012-06-06,2028-11-19
71,125,1,2014-11-11,2027-08-06
59,134,2,2011-02-12,2030-05-20
125,84,1,2013-01-25,2027-10-20
97,71,2,2011-01-30,2029-12-12
84,66,1,2012-05-22,2030-08-21
3,125,0,2013-03-29,2029-05-16
119,91,1,2011-04-16,2027-02-04
70,138,1,2013-04-10,2028-09-08
71,40,0,2013-02-19,2027-03-21
47,69,0,2014-10-28,2030-06-02
52,68,0,2014-07-11,2029-06-08
146,18,0,2011-07-22,2027-12-27
91,20,1,2012-04-22,2029-09-16
59,117,1,2013-11-06,2029-04-28
55,107,0,2012-04-09,2028-04-25
48,46,1,2013-01-05,2029-05-18
64,70,0,2012-01-03,2027-01-07
87,88,0,2012-05-20,2030-08-11
13,91,2,2012-05-01,2029-12-13
144,88,1,2011-11-25,2028-04-06
58,36,2,2011-06-07,2028-11-02
144,64,2,2014-09-22,2029-03-03
114,87,1,2014-01-13,2029-06-13
65,19,2,2014-03-05,2026-12-23
56,117,0,2012-02-10,2029-04-14
120,67,0,2012-07-30,2030-05-01
21,42,0,2012-09-05,2029-03-28
149,43,0,2011-09-11,2029-07-06
3,104,2,2012-04-01,2027-02-19
138,74,2,2013-08-24,2029-06-14
128,24,0,2012-03-08,2028-05-10
5,46,1,2012-06-17,2029-03-20
23,135,1,2011-09-07,2029-01-27
38,8,2,2010-12-18,2027-05-10
142,82,1,2012-03-30,2028-06-21
114,125,2,2013-10-04,2027-12-11
18,12,1,2012-05-17,2029-12-11
14,141,0,2014-08-25,2028-07-22
72,130,0,2013-02-03,2027-10-10
129,7,0,2014-03-29,2030-03-08
134,99,1,2013-07-10,2029-04-06
6,129,2,2012-02-16,2030-03-03
69,129,0,2012-05-26,2027-02-26
55,15,1,2013-08-30,2027-03-13
77,139,2,2011-12-11,2027-06-19
148,75,2,2012-12-24,2030-10-10
144,132,2,2012-07-21,2030-09-07
83,88,0,2013-05-26,2027-04-05
116,61,1,2013-08-26,2029-10-18
128,147,1,2014-08-20,2029-05-25
83,82,0,2012-06-17,2028-07-29
147,118,1,2012-03-09,2028-03-14
91,119,2,2012-01-22,2030-08-11
41,52,1,2012-09-30,2030-05-04
145,46,0,2013-10-23,2027-11-24
59,55,0,2011-08-13,2029-05-25
88,11,0,2013-07-22,2028-09-16
62,24,1,2013-05-25,2029-05-25
119,140,2,2010-11-30,2028-11-18
80,116,1,2012-12-19,2030-06-10
29,77,0,2014-03-03,2030-07-03
131,39,1,2012-01-14,2030-09-15
125,18,1,2014-07-18,2027-05-12
17,53,1,2011-12-31,2030-01-14
82,111,2,2011-03-06,2030-11-04
90,44,1,2013-09-26,2030-02-28
61,60,0,2014-02-26,2027-06-03
74,125,2,2010-12-23,2029-04-10
96,46,0,2011-02-07,2027-04-30
60,47,0,2013-12-04,2030-01-31
98,78,2,2014-11-10,2028-12-19
126,38,2,2011-10-24,2030-09-04
59,147,1,2012-06-07,2028-08-27
129,71,2,2011-02-27,2029-09-30
102,128,2,2012-07-04,2028-12-12
90,36,1,2013-01-04,2028-06-11
10,78,1,2011-08-05,2027-06-09
123,135,1,2014-06-28,2027-10-23
30,25,1,2011-01-27,2029-09-04
61,95,2,2013-07-12,2027-05-17
130,91,0,2012-01-23,2030-05-01
39,59,1,2013-07-11,2027-07-23
8,74,2,2012-08-08,2028-09-19
11,27,1,2014-07-31,2030-01-06
80,55,0,2013-03-17,2029-08-28
38,25,0,2014-11-02,2027-09-15
87,96,2,2014-09-11,2027-10-22
48,54,1,2011-12-01,2027-02-23
67,87,1,2012-11-18,2030-09-16
76,11,2,2014-09-25,2028-11-18
125,61,0,2014-03-02,2030-01-17
29,31,1,2011-03-24,2027-12-22
146,116,0,2013-04-27,2029-08-28
123,88,1,2012-10-05,2028-08-19
120,24,2,2012-05-18,2030-10-30
64,53,1,2012-10-08,2028-03-19
35,75,1,2012-07-01,2030-08-05
140,11,2,2011-02-08,2030-10-16
32,18,2,2013-10-17,2029-01-20
43,147,1,2014-10-21,2028-04-21
65,128,1,2013-02-13,2029-09-24
64,144,0,2014-07-14,2028-12-15
137,66,0,2013-04-14,2030-06-28
15,38,2,2013-03-12,2027-07-23
13,136,1,2012-07-08,2030-11-02
95,34,1,2011-04-02,2029-06-23
47,86,2,2012-08-21,2030-05-20
132,50,1,2013-06-17,2030-07-31
145,86,0,2011-10-27,2030-10-13
103,120,0,2011-11-26,2028-01-03
81,149,1,2014-01-24,2029-11-10
23,25,2,2011-09-11,2029-05-26
115,49,1,2010-12-06,2029-08-14
142,113,0,2014-05-25,2027-05-15
13,32,0,2014-02-19,2027-12-14
55,70,0,2012-04-30,2028-04-07
143,138,0,2012-08-25,2030-04-09
22,62,2,2011-11-25,2030-03-15
46,34,2,2013-10-01,2027-07-27
52,147,0,2012-11-05,2030-06-24
2,71,1,2013-11-18,2030-02-23
73,23,0,2011-08-12,2030-04-10
76,83,0,2011-01-14,2030-09-15
118,136,1,2011-07-02,2027-03-28
146,97,1,2014-04-07,2027-11-06
128,127,0,2012-08-10,2027-12-21
51,126,1,2013-12-12,2030-01-01
61,69,0,2013-06-26,2027-08-26
98,97,2,2013-09-09,2029-03-02
62,26,0,2011-10-03,2029-09-30
100,82,1,2012-10-19,2028-07-10
74,122,1,2014-03-14,2029-10-04
1,102,1,2013-11-09,2027-10-18
127,92,2,2012-06-10,2030-08-07
39,10,1,2014-11-03,2027-12-08
29,66,0,2012-08-30,2029-07-31
28,107,2,2014-03-22,2027-02-21
139,66,1,2011-01-15,2029-10-03
12,143,1,2013-12-20,2030-03-27
1,136,0,2012-07-11,2030-09-08
114,100,2,2011-07-09,2027-02-21
75,68,0,2011-03-01,2030-01-27
42,86,2,2013-11-09,2030-06-06
58,40,1,2014-02-07,2027-11-03
119,128,0,2011-12-20,2026-12-19
3,132,2,2013-11-18,2028-04-05
128,64,0,2012-02-19,2030-04-15
134,72,0,2013-02-07,2027-08-04
95,144,2,2011-02-27,2030-08-22
80,103,1,2011-06-02,2028-10-17
150,39,2,2011-03-04,2029-09-26
129,40,2,2013-03-11,2028-03-23
16,1,0,2014-10-25,2028-09-26
76,114,1,2014-01-27,2026-12-29
81,135,2,2013-11-10,2029-09-29
14,55,0,2012-09-23,2029-06-16
57,101,1,2011-03-21,2027-10-04
148,31,2,2013-10-10,2028-05-13
25,64,2,2011-04-10,2027-02-22
123,114,0,2012-02-18,2029-11-12
40,43,2,2011-02-01,2027-04-12
54,65,1,2013-11-01,2030-01-08
24,130,0,2013-11-03,2029-01-12
94,79,1,2014-05-12,2027-05-11
57,29,2,2014-06-22,2026-12-08
94,44,2,2011-11-09,2030-09-18
107,12,2,2013-12-19,2027-04-05
21,99,2,2012-04-27,2030-08-06
129,38,2,2014-06-05,2030-02-06
22,6,2,2012-08-05,2030-09-16
79,137,1,2012-03-25,2028-08-27
72,58,0,2014-08-25,2027-11-30
47,128,1,2011-03-10,2028-05-23
124,73,0,2012-04-30,2027-02-21
9,19,0,2014-07-20,2029-06-03
87,91,2,2014-08-15,2028-11-21
32,116,0,2012-05-29,2028-08-09
95,115,0,2011-08-06,2028-03-27
30,13,2,2011-12-31,2029-09-19
58,112,2,2012-10-12,2028-05-21
136,130,0,2013-10-10,2029-08-30
126,60,0,2012-09-01,2029-09-09
29,139,1,2011-12-27,2027-11-09
124,12,0,2013-02-22,2027-10-29
103,132,0,2011-04-11,2026-12-11
118,138,0,2011-09-08,2028-06-25
45,104,2,2013-09-10,2028-08-07
42,33,0,2011-09-19,2030-05-06
42,83,2,2014-07-17,2028-12-14
31,65,0,2013-12-28,2026-12-26
148,94,0,2014-06-01,2026-12-01
111,101,2,2011-06-11,2028-04-07
85,149,0,2012-01-04,2027-01-06
101,112,1,2013-12-23,2026-12-10
137,116,0,2011-01-28,2029-01-30
133,150,0,2011-09-10,2027-12-09
115,7,2,2013-07-08,2030-09-13
95,125,1,2014-07-03,2028-09-28
128,109,2,2012-06-26,2028-06-23
58,45,2,2014-07-29,2026-12-20
66,105,2,2012-07-01,2027-04-29
